"","mz","mzmin","mzmax","rt","rtmin","rtmax","npeaks","pbqc","treatment1","treatment2","pooled_R1.mzXML","pooled_R2.mzXML","Pooled_R3.mzXML","Treatment1_R1.mzXML","Treatment1_R2.mzXML","Treatment1_R3.mzXML","Treatment2_R1.mzXML","Treatment2_R2.mzXML","Treatment2_R3.mzXML","isotopes","adduct","pcgroup","RespMed"
"10889",701.421873067718,701.420625281035,701.4231208544,7881.53576528341,7872.23753426521,7890.8339963016,2,0,2,0,1944,1827,1905,1943,1773,2099,1672,1795,1774,"","","138",1827
"5228",339.199701411281,339.198659733942,339.201812502678,7900.86180990271,7899.33213604652,7904.42310407349,9,3,3,3,41923,34163,36300,35429,35658,41545,37828,39751,38773,"[1182][M]-","","118",37828
"4669",701.437457971446,701.426829067092,701.442216089596,7930.56475678099,7917.2211033103,7954.98565034094,7,2,3,2,2200,2162,2192,2183,2193,2392,2044,2125,2003,"","","366",2183
"4733",799.495171706852,799.489351521942,799.498882337887,7942.3211051852,7936.79033408212,7959.69795468633,4,1,1,2,2323,2124,2145,2241,2205,2400,2065,2086,2098,"[1147][M+2]-","","365",2145
"5074",417.210419734578,417.209514099255,417.213030185068,7960.33923684489,7958.84246464338,7961.87821617315,4,1,1,2,3333,3011,2958,2949,2995,3314,3063,3231,3079,"","","343",3063
"4825",409.329778995241,409.327965703401,409.332622892393,7973.02626106524,7971.70776543101,7975.95154647153,5,1,1,3,2599,2374,2242,2523,2430,2625,2322,2670,2446,"","","356",2446
"4732",799.519709665358,799.517705027414,799.527774795025,7986.90454902397,7979.973561175,8013.45875926143,7,3,2,2,2530,2273,2268,2421,2463,2473,2334,2403,2196,"","","362",2403
"7118",783.530465612367,783.523230731489,783.53095974538,8002.08788243804,7996.92585495766,8008.56052061847,3,1,0,2,2449,2172,2234,2366,2344,2519,2240,2319,2145,"[1374][M]-","","364",2319
"12305",813.547550888955,813.547550888955,813.547550888955,8019.02855125617,8019.02855125617,8019.02855125617,1,0,1,0,2119,2166,2079,2253,2273,2201,2048,2148,2062,"","","371",2148
"7318",283.265395567025,283.263308653353,283.265817677612,8033.3542415526,8031.73297418072,8034.25338917568,3,0,1,2,5982,2675,2445,2844,2543,2941,2742,3277,2821,"","","295",2821
"7260",769.55230682256,769.550633902832,769.55646168228,8050.72565083684,8038.27524319738,8063.2580718001,5,1,3,1,2169,1908,1953,2183,2242,1873,2035,2127,1937,"","","373",2035
