	mz	mzmin	mzmax	rt	rtmin	rtmax	npeaks	pbqc	treatment1	treatment2	pooled_R1.mzXML	pooled_R2.mzXML	Pooled_R3.mzXML	Treatment1_R1.mzXML	Treatment1_R2.mzXML	Treatment1_R3.mzXML	Treatment2_R1.mzXML	Treatment2_R2.mzXML	Treatment2_R3.mzXML
9270	1081.71594221602	1081.7111980431	1081.72058931785	8022.131	8018.06	8026.092	3	1	1	1	NA	NA	1151	NA	1218	NA	NA	NA	1125
8522	791.529667577792	791.525716454364	791.530267979647	8022.132	8020.039	8024.739	3	1	1	1	NA	1027	NA	1055	NA	NA	1034	NA	NA
12214	830.540316628335	830.540316628335	830.540316628335	8022.132	8022.132	8022.132	1	0	1	0	NA	NA	NA	1013	NA	NA	NA	NA	NA
8547	833.542996193927	833.53895550703	833.546873667476	8022.132	8018.06	8026.744	3	0	2	1	NA	NA	NA	1370	1463	NA	1316	NA	NA
8521	1001.65307678081	1001.65105130014	1001.66080783053	8022.132	8016.64	8024.739	3	0	2	1	NA	NA	NA	1606	NA	1610	1454	NA	NA
8605	641.479807542679	641.476269706855	641.483345378503	8022.402	8022.071	8022.733	2	0	1	1	NA	NA	NA	NA	1740	NA	1639	NA	NA
8513	965.626402127988	965.626372440375	965.626431815601	8022.4075	8018.723	8026.092	2	1	0	1	NA	NA	1251	NA	NA	NA	1332	NA	NA
11239	785.542355888554	785.542355888554	785.542355888554	8022.654	8022.654	8022.654	1	0	1	0	NA	NA	NA	NA	NA	2363	NA	NA	NA
11166	957.623481373582	957.623481373582	957.623481373582	8022.654	8022.654	8022.654	1	0	1	0	NA	NA	NA	NA	NA	1761	NA	NA	NA
11168	1143.73036250909	1143.73036250909	1143.73036250909	8022.654	8022.654	8022.654	1	0	1	0	NA	NA	NA	NA	NA	1078	NA	NA	NA
7333	853.591019187404	853.58601154273	853.593732059732	8022.733	8013.839	8028.058	3	1	0	2	NA	1865	NA	NA	NA	NA	1865	1931	NA
7336	1085.71015975625	1085.70684848085	1085.71347103164	8022.998	8021.859	8024.137	2	0	0	2	NA	NA	NA	NA	NA	NA	NA	1297	1197
4926	854.597249831457	854.594274561003	854.60022510191	8023.058	8020.065	8026.051	2	1	1	0	1052	NA	NA	NA	1062	NA	NA	NA	NA
9252	795.546497991167	795.542565058027	795.550430924308	8023.109	8022.081	8024.137	2	1	0	1	NA	NA	1689	NA	NA	NA	NA	NA	1533
9257	1073.69302959154	1073.69211462457	1073.69394455851	8023.109	8020.126	8026.092	2	1	0	1	NA	NA	1142	NA	NA	NA	NA	NA	1135
